therapeutic	target_annotation	arm_group	component	status	candidate_hgnc_ids	exclusion_reference
Tarperprumig	ALB;CFP	1	CFP	approved_symbol	HGNC:8864	
Tavolimab	TNFSF4/CD134/CD252/OX40L	0	TNFSF4/CD134/CD252/OX40L	approved_symbol	HGNC:11934	
Tazlestobart	CTLA4/CD152	0	CTLA4/CD152	approved_symbol	HGNC:2505	
Tebentafusp	CD3E	0	CD3E	approved_symbol	HGNC:1674	
Tebotelimab	PDCD1/CD279/PD1;LAG3/CD223	0	PDCD1/CD279/PD1	approved_symbol	HGNC:8760	
Tebotelimab	PDCD1/CD279/PD1;LAG3/CD223	1	LAG3/CD223	approved_symbol	HGNC:6476	
Tecaginlimab	CD40;TNFRSF9/CD137/4-1BB	0	CD40	approved_symbol	HGNC:11919	
Tecaginlimab	CD40;TNFRSF9/CD137/4-1BB	1	TNFRSF9/CD137/4-1BB	approved_symbol	HGNC:11924	
Teclistamab	TNFRSF17/CD269/BCMA/TNFRSF13A;CD3E	0	TNFRSF17/CD269/BCMA/TNFRSF13A	approved_symbol	HGNC:11913	
Teclistamab	TNFRSF17/CD269/BCMA/TNFRSF13A;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Tecotabart	CLDN18	0	CLDN18	approved_symbol	HGNC:2039	
Tegoprubart	CD40LG/CD154	0	CD40LG/CD154	approved_symbol	HGNC:11935	
Telazorlimab	TNFRSF4/CD134/OX40	0	TNFRSF4/CD134/OX40	approved_symbol	HGNC:11918	
Telikibart	IL4R/CD124	0	IL4R/CD124	approved_symbol	HGNC:6015	
Telisotuzumab	MET/HGFR	0	MET/HGFR	approved_symbol	HGNC:7029	
Temelimab	MS-associated Retrovirus Envelope Protein	0	MS-associated Retrovirus Envelope Protein	unresolved_or_nonprotein		
Temtokibart	IL22RA1	0	IL22RA1	approved_symbol	HGNC:13700	
Tenatumomab	TNC	0	TNC	approved_symbol	HGNC:5318	
Teneliximab	TNFRSF5/CD40	0	TNFRSF5/CD40	approved_symbol	HGNC:11919	
Teplizumab	CD3E	0	CD3E	approved_symbol	HGNC:1674	
Tepoditamab	CLEC12A;CD3E	0	CLEC12A	approved_symbol	HGNC:31713	
Tepoditamab	CLEC12A;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Teprotumumab	IGF1R/CD221	0	IGF1R/CD221	approved_symbol	HGNC:5465	
Teropavimab	HIV-1 gp120 CD4bs	0	HIV-1 gp120 CD4bs	unresolved_or_nonprotein		
Tesidolumab	C5	0	C5	approved_symbol	HGNC:1331	
Tesnatilimab	KLRK1/NKG2D/CD314	0	KLRK1/NKG2D/CD314	approved_symbol	HGNC:18788	
Tezepelumab	TSLP	0	TSLP	approved_symbol	HGNC:30743	
Tibulizumab	TNFSF13B/CD257/BAFF;IL17A	0	TNFSF13B/CD257/BAFF	approved_symbol	HGNC:11929	
Tibulizumab	TNFSF13B/CD257/BAFF;IL17A	1	IL17A	approved_symbol	HGNC:5981	
Tidutamab	SSTR2;CD3E	0	SSTR2	approved_symbol	HGNC:11331	
Tidutamab	SSTR2;CD3E	1	CD3E	approved_symbol	HGNC:1674	
Tifcemalimab	BTLA/CD272	0	BTLA/CD272	approved_symbol	HGNC:21087	
Tigatuzumab	TNFRSF10B/CD262/DR5/TRAILR2	0	TNFRSF10B/CD262/DR5/TRAILR2	approved_symbol	HGNC:11905	
Tilatamig	MET/HGFR;EGFR/ERBB1/HER1	0	MET/HGFR	approved_symbol	HGNC:7029	
Tilatamig	MET/HGFR;EGFR/ERBB1/HER1	1	EGFR/ERBB1/HER1	approved_symbol	HGNC:3236	
Tilavonemab	MAPT	0	MAPT	approved_symbol	HGNC:6893	
Tildrakizumab	IL23A	0	IL23A	approved_symbol	HGNC:15488	
Tilogotamab	TNFRSF10B/CD262/DR5/TRAILR2	0	TNFRSF10B/CD262/DR5/TRAILR2	approved_symbol	HGNC:11905	
Tilvestamab	AXL/UFO	0	AXL/UFO	approved_symbol	HGNC:905	
Tilrekimig1	IL13;IL4	0	IL13	approved_symbol	HGNC:5973	
Tilrekimig1	IL13;IL4	1	IL4	approved_symbol	HGNC:6014	
Tilrekimig2	TSLP	0	TSLP	approved_symbol	HGNC:30743	
Timigutuzumab	ERBB2/CD340/HER2	0	ERBB2/CD340/HER2	approved_symbol	HGNC:3430	
Timolumab	AOC3/VAP1	0	AOC3/VAP1	approved_symbol	HGNC:550	
