source	gene	pmid	pmc_id	doi	year	bucket	title
production	NAIF1	26870610	PMC4748701	10.7717/peerj.1635	2016	pmc	miR-27b attenuates apoptosis induced by transmissible gastroenteritis virus (TGEV) infection via tar
production	NAIF1	38803799	PMC11129562	10.3389/fvets.2024.1372961	2024	pmc	MicroRNAs: exploring their role in farm animal disease and mycotoxin challenges
production	NAIF1	30307120	PMC6275841	10.1111/1759-7714.12824	2018	pmc	Inhibition of miR-24 suppresses malignancy of human non-small cell lung cancer cells by targeting WW
production	IRF2	40971628	PMC12659748	10.1093/bjr/tqaf224	2025	pmc	Circulating tumour cells for the prediction of the response to radiation therapy in prostate cancer
production	IRF2	36521002		10.1093/intimm/dxac058	2023	no_oa	Interferon regulatory factor-2 is required for the establishment of the gut intraepithelial T-cell c
production	IRF2	41694598	PMC12905640	10.7150/ijbs.126714	2026	pmc	&lt;i&gt;Irf7&lt;/i&gt; Deficiency Confers Protection Against Influenza Infection, Independent of &l
production	IRF2	41204114	PMC12595816	10.1186/s12864-025-12147-y	2025	pmc	Single-cell analysis of intermediate horseshoe bat (Rhinolophus affinis) organs reveals viral infect
production	IRF2	39211041	PMC11357929	10.3389/fimmu.2024.1439465	2024	pmc	Transcriptomic response of lumpfish (<i>Cyclopterus lumpus</i>) head kidney to viral mimic, with a f
production	IRF2	39945535	PMC11915802	10.1128/jvi.02085-24	2025	pmc	PLSCR1 suppresses SARS-CoV-2 infection by downregulating cell surface ACE2
production	IRF2	41042872	PMC12494012	10.1126/sciadv.ady1640	2025	pmc	Single-cell atlas of cervical organoids uncovers epithelial immune heterogeneity and intercellular c
production	IRF2	34878155	PMC8674697	10.3892/mmr.2021.12556	2022	pmc	IRF2 contributes to myocardial infarction via regulation of GSDMD induced pyroptosis
production	IRF2	42076017	PMC13118762	10.3390/molecules31081339	2026	pmc	Diagnostic Potential of Exosomes in Colorectal Cancer: Current Advances and Future Perspectives
production	IRF2	39690423	PMC11654217	10.1186/s40779-024-00586-9	2024	pmc	Role of PD-1/PD-L1 signaling axis in oncogenesis and its targeting by bioactive natural compounds fo
production	PTPRU	41052219	PMC12520345	10.1371/journal.ppat.1013562	2025	pmc	The serine protease HtrA regulates Group B Streptococcus virulence and affects the host response to 
production	PTPRU	30924770	PMC6440744	10.7554/elife.44597	2019	pmc	The homophilic receptor PTPRK selectively dephosphorylates multiple junctional regulators to promote
production	PTPRU	39480852	PMC11551432	10.1073/pnas.2414583121	2024	pmc	Facilitating and restraining virus infection using cell-attachable soluble viral receptors
production	PTPRU	41472857	PMC12747554	10.1002/imt2.70084	2025	pmc	A comprehensive benchmarking for spatially resolved transcriptomics clustering methods across variab
production	PTPRU	41798064	PMC12966599	10.1016/j.jpha.2025.101335	2026	pmc	Screening of tyrosine phosphatase SHP2 (PTPN11) inhibitors from natural products with therapeutic po
production	PTPRU	40771565	PMC12325354	10.3389/fncel.2025.1638627	2025	pmc	Proximity labeling uncovers the synaptic proteome under physiological and pathological conditions
production	PTPRU	37251735	PMC10214056	10.1177/20417314231174609	2023	pmc	Comparison of extracellular vesicle isolation processes for therapeutic applications
