source	feature	feature_type	in_n	out_n	in_summary	out_summary	effect	effect_kind	effect_ci_lo	effect_ci_hi	aux_effect	aux_effect_kind	aux_effect_ci_lo	aux_effect_ci_hi	p_value	q_value
go	fam_gpcr	binary	1811	3645	0.013252346769740474	0.028257887517146776	-0.015005540747406301	prop_diff			-0.7568837981580697	log_or	-1.200900112007104	-0.3128674843090355	0.00038448390745663417	0.0006688654958121328
go	fam_olfactory_receptor	binary	1811	3645	0.0005521811154058532	0.11165980795610425	-0.1111076268406984	prop_diff			-5.023068615155477	log_or	-6.627375935751126	-3.418761294559828	4.754163044618936e-73	3.5839075259435054e-72
go	fam_slc_transporter	binary	1811	3645	0.09000552181115405	0.053497942386831275	0.03650757942432278	prop_diff			0.5599059754607584	log_or	0.3440591335377134	0.7757528173838033	5.302632878671129e-07	1.2085070281622572e-06
go	fam_abc_transporter	binary	1811	3645	0.013804527885146328	0.0032921810699588477	0.01051234681518748	prop_diff			1.4228877804493512	log_or	0.7437805703268265	2.1019949905718756	2.480085185065062e-05	4.960170370130124e-05
go	fam_cd_molecule	binary	1811	3645	0.1424627277747101	0.03566529492455418	0.10679743285015593	prop_diff			1.5001937799918497	log_or	1.2814146719876072	1.7189728879960922	4.8820416542614e-44	2.8143534242212774e-43
go	fam_ig_domain	binary	1811	3645	0.04362230811706239	0.015912208504801097	0.027710099612261296	prop_diff			1.0346203964262937	log_or	0.6921607759559982	1.377080016896589	3.2663878474584045e-09	8.278603682351473e-09
go	fam_rtk	binary	1811	3645	0.00883489784649365	0.010699588477366255	-0.0018646906308726046	prop_diff			-0.17548605272295154	log_or	-0.7527942006233019	0.4018220951773989	0.5674416301328572	0.6542268206237648
go	fam_tetraspanin	binary	1811	3645	0.004417448923246825	0.006858710562414266	-0.0024412616391674405	prop_diff			-0.4017293721828279	log_or	-1.1800577546031175	0.3765990102374618	0.3543996473610769	0.42702252591867457
go	fam_cadherin	binary	1811	3645	0.015461071231363888	0.020027434842249656	-0.004566363610885768	prop_diff			-0.2526934139391099	log_or	-0.6889146209478543	0.18352779306963451	0.2860164859413147	0.35782488028402776
go	fam_integrin	binary	1811	3645	0.0	0.0	0.0	prop_diff			0.699338298911353	log_or	-3.2210665865337393	4.619743184356445	1.0	1.0
go	fam_voltage_gated_channel	binary	1811	3645	0.0447266703478741	0.0010973936899862826	0.043629276657887815	prop_diff			3.640510924053114	log_or	2.6896692066649077	4.59135264144132	2.072707172774758e-34	9.989768996652112e-34
go	fam_ligand_gated_channel	binary	1811	3645	0.0	0.0	0.0	prop_diff			0.699338298911353	log_or	-3.2210665865337393	4.619743184356445	1.0	1.0
go	fam_connexin	binary	1811	3645	0.011595803423522915	0.0	0.011595803423522915	prop_diff			4.47219873550156	log_or	1.6677240238931526	7.276673447109967	8.093039879957091e-11	2.1828933254196192e-10
go	fam_claudin	binary	1811	3645	0.0016565433462175593	0.0054869684499314125	-0.003830425103713853	prop_diff			-1.0721674802294998	log_or	-2.2071471799781945	0.06281221951919491	0.044840873022976555	0.0639961974211413
go	fam_mhc_hla	binary	1811	3645	0.015461071231363888	0.0024691358024691358	0.012991935428894753	prop_diff			1.811056243463759	log_or	1.0745901565809164	2.5475223303466015	1.364683794048546e-07	3.26192711748189e-07
go	fam_tnfrsf	binary	1811	3645	0.007730535615681944	0.00411522633744856	0.003615309278233384	prop_diff			0.6362821947264274	log_or	-0.08203419039093218	1.354598579843787	0.11168982933843777	0.15062756800688396
go	fam_chemokine_ligand	binary	1811	3645	0.0011043622308117063	0.0016460905349794238	-0.0005417283041677175	prop_diff			-0.2567156994729209	log_or	-1.7164533237154502	1.2030219247696083	1.0	1.0
go	fam_chemokine_receptor	binary	1811	3645	0.012147984538928768	0.0008230452674897119	0.011324939271439056	prop_diff			2.571486348578286	log_or	1.4438608864059397	3.6991118107506322	1.9731546532060426e-08	4.8748526726266937e-08
go	fam_ras_gtpase	binary	1811	3645	0.00717835450027609	0.0035665294924554186	0.0036118250078206716	prop_diff			0.7029681323087593	log_or	-0.05354987263982858	1.4594861372573473	0.0926183424198244	0.12724202182910455
go	fam_rho_gtpase	binary	1811	3645	0.0027609055770292656	0.0008230452674897119	0.0019378603095395537	prop_diff			1.1532641112247222	log_or	-0.18809860279880497	2.4946268252482495	0.12593654654904163	0.16745949545210168
go	fam_arf_gtpase	binary	1811	3645	0.0027609055770292656	0.0013717421124828531	0.0013891634645464125	prop_diff			0.7007297632470709	log_or	-0.48253995970258756	1.8839994861967293	0.31555806829957567	0.38494831261810725
go	fam_src_kinase	binary	1811	3645	0.0027609055770292656	0.0005486968449931413	0.0022122087320361242	prop_diff			1.4900108468869122	log_or	-0.006081944723642652	2.9861036384974673	0.04435830617929367	0.063616302520548
go	fam_g_protein_subunit	binary	1811	3645	0.018774157923799006	0.0	0.018774157923799006	prop_diff			4.9523921521663485	log_or	2.1599441661372802	7.744840138195417	4.215758387397e-17	1.304666279889177e-16
go	schweke_homomer	binary	1992	4309	0.2359437751004016	0.16384311905314458	0.07210065604725702	prop_diff			0.45502463168129575	log_or	0.32390738334445346	0.586141880018138	1.7479869447226697e-11	4.802880016340794e-11
go	up_length	continuous	1599	2411	533.0	393.0	0.18309167202956855	cliffs_delta			143.63259129448647	mean_diff			8.224480548452547e-23	2.844702683817704e-22
go	up_tm_count	continuous	1599	2411	1.0	3.0	-0.20806917637501043	cliffs_delta			-0.8361670465442805	mean_diff			1.1392552297299802e-30	5.166391590077836e-30
go	up_glyc_count	continuous	1599	2411	2.0	1.0	0.06547876122286089	cliffs_delta			0.7521042418413209	mean_diff			0.0003201744427004215	0.000563660396131281
go	up_lipidation_count	continuous	1599	2411	0.0	0.0	0.037997618275005474	cliffs_delta			0.07221850861267759	mean_diff			0.00015778051800529905	0.0002935915967946704
go	up_topo_extracellular_count	continuous	1599	2411	1.0	1.0	-0.2021688171448922	cliffs_delta			-0.49210765023452807	mean_diff			1.8029631220760512e-29	7.795164086622927e-29
