gene_symbol	gene_symbol_aliases	matched_surfaceome_gene_symbol	lookup_match_source	lookup_match_input_symbol	target_name	control_class	control_group	is_pinned_specified_negative	in_m1_candidate_universe	matched_m1_gene_symbol	m1_match_source	in_parent_surfaceome_2379	surfaceome_label	label_source	uniprot_id	has_cell_membrane_uniprot	passes_topology_gate	uniprot_subcellular	provenance	source_note
LY75		LY75	direct_symbol	LY75	CD205 (LY75)	positive_surfaceome	patent_delivery_handles	no	yes	LY75	direct_symbol	yes	surface	machine learning	O60449	False	True	Membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Highlight/broader handle list in WO2024036333A2.
MELTF	MFI2	MFI2	mygene_alias	MELTF	MELTF (CD228)	positive_surfaceome	patent_delivery_handles	no	yes	MFI2	mygene_alias	yes	surface	GPI (UniProt)	P08582	True	True	Cell membrane (Lipid-anchor, GPI- anchor)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
MSLN		MSLN	direct_symbol	MSLN	Mesothelin (MSLN)	positive_surfaceome	patent_delivery_handles	no	yes	MSLN	direct_symbol	yes	surface	GPI (UniProt)	Q13421	True	True	Cell membrane (Lipid-anchor, GPI-anchor);Golgi apparatus;Secreted;Secreted	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Highlight/broader handle list in WO2024036333A2.
MST1R		MST1R	direct_symbol	MST1R	MST1R (RON)	positive_surfaceome	patent_delivery_handles	no	yes	MST1R	direct_symbol	yes	surface	machine learning	Q04912	False	True	Membrane (Single-pass type I membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Highlight/broader handle list in WO2024036333A2.
MUC1		MUC1	direct_symbol	MUC1	MUC1	positive_surfaceome	patent_delivery_handles	no	yes	MUC1	direct_symbol	yes	surface	machine learning	P15941	True	True	Apical cell membrane (Single- pass type I membrane protein);Secreted;Secreted;Secreted;Cell membrane;Cytoplasm;Nucleus	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
MUC16		MUC16	direct_symbol	MUC16	MUC16 (CA125)	positive_surfaceome	patent_delivery_handles	no	yes	MUC16	direct_symbol	yes	surface	pos. trainingset	Q8WXI7	True	True	Cell membrane (Single-pass type I membrane protein);Secreted, extracellular space	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
NCAM1		NCAM1	direct_symbol	NCAM1	CD56 (NCAM1)	positive_surfaceome	patent_delivery_handles	no	yes	NCAM1	direct_symbol	yes	surface	GPI (UniProt)	P13591	True	True	Cell membrane (Single-pass type I membrane protein);Cell membrane (Single-pass type I membrane protein);Cell membrane (Lipid-anchor, GPI- anchor);Cell membrane (Lipid-anchor, GPI-anchor);Secreted;Secreted	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
PRLR		PRLR	direct_symbol	PRLR	PRLR	positive_surfaceome	patent_delivery_handles	no	yes	PRLR	direct_symbol	yes	surface	machine learning	P16471	False	True	Membrane (Single-pass type I membrane protein);Secreted	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
RNF128		RNF128	direct_symbol	RNF128	RNF128 (GRAIL)	positive_surfaceome	patent_delivery_handles	no	yes	RNF128	direct_symbol	yes	surface	machine learning	Q8TEB7	False	True	Cytoplasm, cytoskeleton;Cytoplasm, perinuclear region;Endomembrane system (Single- pass membrane protein)	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
RNF43		RNF43	direct_symbol	RNF43	RNF43	positive_surfaceome	patent_delivery_handles	no	yes	RNF43	direct_symbol	yes	surface	machine learning	Q68DV7	True	True	Cell membrane (Single-pass type I membrane protein);Endoplasmic reticulum membrane (Single-pass type I membrane protein);Nucleus envelope	canonical_delivery_positive_controls.controls.json:positive_controls.patent_delivery_handles	Broader handle list in WO2024036333A2.
