gene_symbol	uniprot_id	uniprot_name	surfaceome_label	label_source	already_in_control_panel	internal_compartment_hint	has_cell_membrane_uniprot	has_gpi_uniprot	is_only_secreted_uniprot	uniprot_subcellular	max_tpm_gtex	max_ntpm_hpa_tissue	max_tpm_hpa_celline	max_tpm_tcga	max_expression_any
NLGN4Y	Q8NFZ3	NLGNY_HUMAN	surface	machine learning	False	False	True	False	False	Cell junction, synapse, postsynaptic cell membrane, postsynaptic density;Cell membrane (Single-pass type I membrane protein)	5.43434	6.9	30.4	76.19799157694024	76.19799157694024
SLC2A6	Q9UGQ3	GTR6_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Multi-pass membrane protein)	52.0268	17.6	58.4	75.90805046178104	75.90805046178104
MMP16	P51512	MMP16_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type I membrane protein|Extracellular side;Cell surface;Secreted, extracellular space, extracellular matrix	4.54169	5.3	65.8	75.89226725955825	75.89226725955825
TMEM26	Q6ZUK4	TMM26_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	8.35815	8.3	55.7	75.89226725955825	75.89226725955825
PTCHD2	Q9P2K9	PTHD2_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	11.3532	0.0	0.0	75.8291672606787	75.8291672606787
PCDHGA2	Q9Y5H1	PCDG2_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type I membrane protein)	7.19536	4.7	19.1	75.20104556709826	75.20104556709826
SLC4A8	Q2Y0W8	S4A8_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	31.642	16.9	49.0	75.18019802297223	75.18019802297223
CDH12	P55289	CAD12_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type I membrane protein)	2.61272	10.8	41.5	75.03962818635203	75.03962818635203
SLC8A3	P57103	NAC3_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	9.2562	19.0	34.1	74.95125612344363	74.95125612344363
THSD7B	Q9C0I4	THS7B_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	3.53729	18.0	65.8	74.92009083752669	74.92009083752669
SVOPL	Q8N434	SVOPL_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Multi-pass membrane protein)	2.40824	8.6	53.3	74.44900290562231	74.44900290562231
GP1BA	P07359	GP1BA_HUMAN	surface	machine learning	False	False	False	False	False	Membrane (Single-pass type I membrane protein)	4.61863	13.7	35.2	73.14971192161134	73.14971192161134
PCDHB10	Q9UN67	PCDBA_HUMAN	surface	machine learning	False	False	True	False	False	Cell membrane (Single-pass type I membrane protein)	6.90347	4.6	38.8	72.78050606446082	72.78050606446082
